# Project: hPSC Trophectodermal Differentiation, 53 samples											
# General Groups: PSC, PSC-TE, 3L differentiation, choriocarcinoma lines											
# Submitted: 2019-6 # Sequencing: 2019-9											
# Core Lab: Frederick National Laboratory for Cancer Research, CCR-Sequencing Facility											
# Investigator: Jaroslav Slamecka											
# PI: Ilyas Singec											
# Institution: NIH											
# Department: NCATS											
# Lab:SCTL											
# Notes:											
FileName1	FileName2	SampleID	SampleName.LIMS	CellType	Line	PlotColor	PlotPCH	PlotPCH.2	PlotShape	Flowcell	read.length
JS10_S11_R1_001.fastq.gz	JS10_S11_R2_001.fastq.gz	JS10_S11	H9_p50_4D1	ESC	H9	cadetblue4	21	21	circle	HG2V2DRXX	150
JS11_S12_R1_001.fastq.gz	JS11_S12_R2_001.fastq.gz	JS11_S12	H14_p32_r1	ESC	H14	cadetblue4	22	21	circle	HG2V2DRXX	150
JS12_S13_R1_001.fastq.gz	JS12_S13_R2_001.fastq.gz	JS12_S13	WA17_p14_r1	ESC	WA17	cadetblue4	23	21	circle	HG2V2DRXX	150
JS13_S14_R1_001.fastq.gz	JS13_S14_R2_001.fastq.gz	JS13_S14	H14_p34	ESC	H14	cadetblue4	22	21	circle	HG2V2DRXX	150
JS14_S15_R1_001.fastq.gz	JS14_S15_R2_001.fastq.gz	JS14_S15	H14_p39_r1	ESC	H14	cadetblue4	22	21	circle	HG2V2DRXX	150
JS15_S16_R1_001.fastq.gz	JS15_S16_R2_001.fastq.gz	JS15_S16	H9TE_p56_0_r1	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS16_S17_R1_001.fastq.gz	JS16_S17_R2_001.fastq.gz	JS16_S17	H9TE_p56_0_r3	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS17_S18_R1_001.fastq.gz	JS17_S18_R2_001.fastq.gz	JS17_S18	H14TE_p37_0_r1	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS18_S19_R1_001.fastq.gz	JS18_S19_R2_001.fastq.gz	JS18_S19	H14TE_p37_0_r3	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS19_S20_R1_001.fastq.gz	JS19_S20_R2_001.fastq.gz	JS19_S20	WA17TE_p19_0_r1	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS1_S1_R1_001.fastq.gz	JS1_S1_R2_001.fastq.gz	JS1_S1	H9_p64_2D2	ESC	H9	cadetblue4	21	21	circle	HG2V2DRXX	150
JS20_S21_R1_001.fastq.gz	JS20_S21_R2_001.fastq.gz	JS20_S21	WA17TE_p19_0_r3	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS21_S22_R1_001.fastq.gz	JS21_S22_R2_001.fastq.gz	JS21_S22	WA17_p23_4DHD1	ESC	WA17	cadetblue4	23	21	circle	HG2V2DRXX	150
JS22_S23_R1_001.fastq.gz	JS22_S23_R2_001.fastq.gz	JS22_S23	H14TE_i215_r1	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS23_S24_R1_001.fastq.gz	JS23_S24_R2_001.fastq.gz	JS23_S24	H14TE_i215_r3	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS24_S25_R1_001.fastq.gz	JS24_S25_R2_001.fastq.gz	JS24_S25	WA17TE_i215_r1	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS25_S26_R1_001.fastq.gz	JS25_S26_R2_001.fastq.gz	JS25_S26	WA17TE_i215_r3	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS26_S27_R1_001.fastq.gz	JS26_S27_R2_001.fastq.gz	JS26_S27	H9TE_i215_r1	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS27_S28_R1_001.fastq.gz	JS27_S28_R2_001.fastq.gz	JS27_S28	H9TE_i215_r3	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS28_S29_R1_001.fastq.gz	JS28_S29_R2_001.fastq.gz	JS28_S29	WA17TE_i218_r1	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS29_S30_R1_001.fastq.gz	JS29_S30_R2_001.fastq.gz	JS29_S30	WA17TE_i218_r3	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS2_S3_R1_001.fastq.gz	JS2_S3_R2_001.fastq.gz	JS2_S3	H9Meso_p47_0_r1	Meso	H9	darkolivegreen3	21	21	circle	HG2V2DRXX	150
JS30_S31_R1_001.fastq.gz	JS30_S31_R2_001.fastq.gz	JS30_S31	H14_p42_r3	ESC	H14	cadetblue4	22	21	circle	HG2V2DRXX	150
JS31_S32_R1_001.fastq.gz	JS31_S32_R2_001.fastq.gz	JS31_S32	WA17_p24_r1	ESC	WA17	cadetblue4	23	21	circle	HG2V2DRXX	150
JS32_S2_R1_001.fastq.gz	JS32_S2_R2_001.fastq.gz	JS32_S2	H9TE_i218_r1	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS33_S33_R1_001.fastq.gz	JS33_S33_R2_001.fastq.gz	JS33_S33	H9TE_i218_r3	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS34_S34_R1_001.fastq.gz	JS34_S34_R2_001.fastq.gz	JS34_S34	H14TE_i218_r1	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS35_S35_R1_001.fastq.gz	JS35_S35_R2_001.fastq.gz	JS35_S35	H14TE_i218_r3	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS36_S36_R1_001.fastq.gz	JS36_S36_R2_001.fastq.gz	JS36_S36	WA17TE_i224_r1	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS37_S37_R1_001.fastq.gz	JS37_S37_R2_001.fastq.gz	JS37_S37	WA17TE_i224_r3	TE	WA17	tomato3	23	21	circle	HG2V2DRXX	150
JS38_S38_R1_001.fastq.gz	JS38_S38_R2_001.fastq.gz	JS38_S38	H9TE_i224_r1	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS39_S39_R1_001.fastq.gz	JS39_S39_R2_001.fastq.gz	JS39_S39	H9TE_i224_r3	TE	H9	tomato3	21	21	circle	HG2V2DRXX	150
JS3_S4_R1_001.fastq.gz	JS3_S4_R2_001.fastq.gz	JS3_S4	H9_p49_2D2	ESC	H9	cadetblue4	21	21	circle	HG2V2DRXX	150
JS40_S40_R1_001.fastq.gz	JS40_S40_R2_001.fastq.gz	JS40_S40	H14TE_i224_r1	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS41_S41_R1_001.fastq.gz	JS41_S41_R2_001.fastq.gz	JS41_S41	H14TE_i224_r3	TE	H14	tomato3	22	21	circle	HG2V2DRXX	150
JS42_S42_R1_001.fastq.gz	JS42_S42_R2_001.fastq.gz	JS42_S42	WA17_p26_r1	ESC	WA17	cadetblue4	23	21	circle	HG2V2DRXX	150
